class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Rest,0.429787248,0.124723703,-0.288868278,0.999870539,0.439222872,0.105139256,-0.294508934,0.999859571,0.444509983,0.104479194,-0.294625938,0.999868393,0.450078309,0.103752822,-0.294733375,0.999898314,0.429110587,0.106896847,-0.259635895,0.999850869,0.426613033,0.107499808,-0.259567171,0.999780238,0.42443794,0.107968777,-0.25953716,0.999768317,0.46715346,0.114806145,-0.259092838,0.999919772,0.434238344,0.117246322,-0.104669608,0.999437392,0.440730959,0.14497754,-0.272052735,0.99985981,0.428686857,0.146862954,-0.227375269,0.999747694,0.486747682,0.215858787,-0.362812817,0.999980807,0.455835909,0.234787703,0.120648816,0.998715639,0.47253865,0.361123264,-0.411272347,0.997334003,0.452355921,0.37474525,0.188917592,0.064034276,0.438385397,0.495270729,-0.387576073,0.986604214,0.434426218,0.489212364,0.079660326,0.105176061,0.436285883,0.535281241,-0.431771368,0.968925595,0.429818869,0.525013089,0.077474453,0.115139589,0.428571165,0.534780324,-0.428362042,0.968642771,0.429000914,0.525778651,0.032696608,0.119572856,0.428815305,0.524919093,-0.382582605,0.950587451,0.430609137,0.515606523,0.057220377,0.118337251,0.477094948,0.489495337,-0.145401359,0.998337269,0.458074391,0.492076933,0.145317614,0.993891835,0.468996286,0.69201225,-0.07875862,0.859894872,0.464951426,0.682988882,0.207611874,0.274376214,0.485785395,0.877996325,0.046339635,0.898820877,0.488416851,0.859150946,0.338682503,0.408062279,0.50362581,0.913727045,0.051606469,0.854361713,0.504442394,0.889443934,0.345615536,0.52990824,0.421034873,0.920161068,-0.068212345,0.890565515,0.425664127,0.896875143,0.259089023,0.557965815
Rest,0.429987133,0.124991387,-0.259555399,0.999873698,0.439232528,0.105773218,-0.269674569,0.999862969,0.444493055,0.105284229,-0.269775867,0.999872088,0.449925363,0.104826778,-0.269872785,0.999900997,0.429715633,0.107135132,-0.233507156,0.999853134,0.427376419,0.107673511,-0.233431816,0.999783874,0.425188065,0.108104654,-0.233392164,0.999771416,0.467146218,0.115245715,-0.251371413,0.99992305,0.435392052,0.11729122,-0.091013797,0.999453187,0.440745175,0.145089343,-0.248385593,0.999864995,0.429584652,0.146784127,-0.201866418,0.999755502,0.4857153,0.215917081,-0.355873555,0.999982059,0.461519152,0.233745396,0.125326723,0.998754382,0.472480834,0.361537129,-0.401851982,0.997408926,0.45703873,0.373121887,0.189527914,0.063713543,0.438595295,0.494556993,-0.379669964,0.987249196,0.437250555,0.485523731,0.084816232,0.106359616,0.436183631,0.534251094,-0.423844635,0.970401168,0.431516469,0.522315502,0.083240829,0.116627596,0.42853862,0.53365618,-0.420191467,0.970114768,0.430302203,0.523778558,0.039532594,0.121116146,0.428822994,0.523508489,-0.37444967,0.952753961,0.43172875,0.513014138,0.062898792,0.119980693,0.476345599,0.490518868,-0.145449415,0.998364091,0.4625462,0.492255569,0.14536503,0.993936718,0.46899572,0.691695929,-0.078731991,0.861367404,0.466822803,0.683789432,0.207126379,0.271659046,0.486526489,0.880807519,0.040358607,0.899374366,0.489141315,0.862402797,0.331360936,0.403280884,0.503710389,0.914809823,0.044584498,0.853943944,0.505234659,0.893733561,0.337916732,0.527591527,0.42022118,0.92105335,-0.073449887,0.891320884,0.425892293,0.897637904,0.257494211,0.556361675
Rest,0.43082279,0.125169292,-0.263091594,0.999879658,0.439768225,0.106143586,-0.272164762,0.999869287,0.444811881,0.105773583,-0.272266626,0.999878407,0.450071752,0.105412588,-0.272364527,0.999905705,0.430687428,0.107349552,-0.236727804,0.999858856,0.428448528,0.107872911,-0.236650079,0.999792457,0.426114559,0.108304657,-0.236603066,0.999779701,0.467297882,0.115500428,-0.250638306,0.99992764,0.435991377,0.117461629,-0.092293873,0.999479175,0.441435426,0.145144314,-0.250223577,0.999872625,0.430766344,0.146743372,-0.204614133,0.999767601,0.485700428,0.215913907,-0.352374673,0.99998337,0.462602079,0.233138934,0.125043258,0.998797834,0.472671807,0.361517638,-0.394364089,0.997496665,0.458440393,0.371551096,0.189200446,0.063585393,0.439431906,0.493055552,-0.374739081,0.987890363,0.438723505,0.482749343,0.084680676,0.108093277,0.436571598,0.532385707,-0.418618143,0.971862495,0.432478279,0.519686162,0.08287438,0.118699029,0.428907454,0.532019854,-0.416058362,0.971576989,0.431471199,0.520825744,0.039029606,0.123276368,0.429276854,0.521834671,-0.36995849,0.954943538,0.432952791,0.510627687,0.062716067,0.122170769,0.476349503,0.491164386,-0.145442933,0.998424649,0.462621272,0.492358387,0.145357296,0.99406296,0.469345987,0.690780461,-0.079677686,0.864532828,0.466771275,0.683744609,0.207231909,0.271946043,0.486969292,0.882516563,0.030261969,0.90183723,0.489170015,0.865632713,0.327816427,0.402625412,0.503774047,0.91545701,0.033337601,0.854673207,0.50524354,0.895866275,0.333816022,0.52858001,0.419920683,0.921928287,-0.090103708,0.894069135,0.425913662,0.898529828,0.255305737,0.560090482
Rest,0.431290865,0.125154451,-0.259533465,0.999884307,0.440098375,0.106258191,-0.268748283,0.999874473,0.445015281,0.105958298,-0.268852502,0.999883413,0.45015946,0.10567829,-0.268950284,0.999909401,0.431353033,0.107366748,-0.233422875,0.999863625,0.429190695,0.10788288,-0.233344793,0.999799609,0.426797241,0.10831669,-0.233299017,0.999786735,0.467405558,0.115676694,-0.248613119,0.999931216,0.436476648,0.117533572,-0.091117188,0.999501765,0.44171828,0.145136744,-0.247356847,0.999878526,0.431329578,0.1463992,-0.201916128,0.999777555,0.485623777,0.216104358,-0.350323737,0.999984443,0.462923825,0.233121932,0.124843918,0.998837709,0.472891271,0.361976177,-0.394593716,0.997557402,0.459379286,0.371473342,0.188161299,0.063293971,0.439682543,0.492466003,-0.376268566,0.98843646,0.439277887,0.482471883,0.084522739,0.110025853,0.436571419,0.531738818,-0.420054525,0.973106742,0.432830811,0.519477606,0.082595393,0.121036038,0.428923041,0.531261146,-0.417449325,0.972816288,0.431851715,0.520592332,0.038685825,0.125640467,0.429338783,0.520988345,-0.371429265,0.956801116,0.433307707,0.51023078,0.062497221,0.124651499,0.475920498,0.491840959,-0.145154819,0.998458326,0.4636181,0.492695034,0.145067245,0.994120836,0.469204009,0.68987906,-0.079098113,0.864800274,0.467555374,0.68376404,0.207221225,0.267733335,0.487042516,0.883602917,0.032453064,0.901215494,0.489226043,0.866730928,0.327741802,0.395030022,0.503774047,0.916542947,0.0360507,0.854672134,0.50530237,0.897503734,0.334045857,0.524295926,0.419030368,0.922586203,-0.087693855,0.89341718,0.426566213,0.898410141,0.255964935,0.554979622
Rest,0.43153128,0.125360474,-0.263824284,0.999888778,0.440242708,0.1066119,-0.272191316,0.999879241,0.445119768,0.106339082,-0.272296667,0.999888301,0.450203806,0.106066093,-0.272395998,0.999912977,0.431641251,0.107668675,-0.237017348,0.999867797,0.429469526,0.108171031,-0.236939758,0.999805987,0.42703265,0.108595729,-0.236894846,0.999792814,0.467483819,0.115848206,-0.248677775,0.999934733,0.436689466,0.117784642,-0.091871053,0.999520063,0.441890329,0.145278424,-0.250373304,0.999884367,0.431673616,0.146416113,-0.205125019,0.9997859,0.485744715,0.21612443,-0.348112255,0.999985516,0.462620199,0.233097315,0.124697126,0.998871982,0.473161072,0.361933917,-0.390785843,0.99762255,0.45913586,0.370893538,0.187896058,0.063382067,0.440480471,0.491663903,-0.374401718,0.988964081,0.439157486,0.482003391,0.083752438,0.112246089,0.437036037,0.530795932,-0.41805321,0.974321842,0.432794958,0.518515706,0.080777898,0.123583585,0.429474026,0.530522168,-0.416159689,0.974034727,0.431884468,0.520035386,0.037095182,0.128307268,0.429918587,0.52030617,-0.369925588,0.958623707,0.433341563,0.509603798,0.06173259,0.127253056,0.475924879,0.491587043,-0.145154715,0.998518527,0.463429362,0.492057443,0.145066887,0.994253218,0.469131887,0.688507736,-0.087025732,0.86710465,0.467296213,0.682259738,0.204108238,0.269161314,0.487297773,0.884911716,0.014954858,0.903688073,0.489342362,0.866829991,0.315864146,0.396854788,0.503817618,0.917186975,0.017353263,0.854095042,0.505474508,0.897212684,0.321103275,0.526335299,0.418745279,0.923012018,-0.108563401,0.896314383,0.42711693,0.898055375,0.24276796,0.560145259
Rest,0.431444228,0.126190156,-0.245814592,0.999891341,0.439891398,0.107465953,-0.257600516,0.999882042,0.444644123,0.10714639,-0.257690728,0.999891102,0.449573219,0.10684716,-0.257779092,0.999915004,0.431607783,0.108488351,-0.221011713,0.999870121,0.429459721,0.108971871,-0.220937446,0.999809563,0.427015156,0.10936211,-0.220903426,0.999796331,0.467139184,0.116165571,-0.245429844,0.999936938,0.43685174,0.118263401,-0.083717197,0.999535203,0.441653788,0.14554435,-0.23679702,0.999888361,0.431665272,0.146586627,-0.189794496,0.999792695,0.485359728,0.216192648,-0.348114073,0.99998641,0.463590235,0.233096942,0.127506405,0.998910546,0.473151118,0.362047136,-0.392983884,0.997692049,0.460214049,0.370929241,0.188682243,0.06338007,0.440489471,0.491496682,-0.375381917,0.989487827,0.440013796,0.482137412,0.08829239,0.11314439,0.436977297,0.530784726,-0.418997109,0.97548449,0.433751166,0.518658161,0.087434664,0.124559723,0.429473072,0.530487537,-0.416918457,0.975185037,0.432642758,0.520118773,0.043931745,0.129257128,0.429941177,0.520202577,-0.370768249,0.960323274,0.433896691,0.509593308,0.06662859,0.128399864,0.475111663,0.491607934,-0.14489089,0.998526931,0.465543807,0.492254108,0.144807458,0.994299769,0.467766345,0.687883019,-0.086060897,0.868259013,0.469103187,0.683251917,0.202565476,0.265933037,0.487306505,0.885712624,0.021205638,0.902374744,0.489522636,0.870280445,0.316240042,0.390816301,0.503811896,0.91730535,0.024461497,0.854486167,0.50550729,0.900478482,0.322088391,0.523045301,0.418247521,0.923514009,-0.106122829,0.89474386,0.426719517,0.900693953,0.244493484,0.554654241
Rest,0.431537628,0.126166686,-0.250029206,0.999895573,0.439969301,0.107467793,-0.261700898,0.999886632,0.444727182,0.107153878,-0.261795789,0.999895573,0.449670881,0.106860757,-0.26188916,0.999918222,0.431679577,0.108485237,-0.225264877,0.999874473,0.429491341,0.108970046,-0.225196436,0.999816,0.427030385,0.109362818,-0.225171685,0.999802589,0.467189312,0.116175212,-0.24609144,0.999939859,0.436845005,0.118297592,-0.086003259,0.999552965,0.441691875,0.145521343,-0.240833133,0.999893069,0.431735516,0.146493986,-0.194201797,0.999800265,0.485329062,0.216388598,-0.344949037,0.999987125,0.463383675,0.233090311,0.127218962,0.99893254,0.473135382,0.3623299,-0.387711674,0.997713089,0.460013062,0.370702863,0.190895721,0.063072689,0.440603584,0.49112761,-0.373370349,0.989731133,0.440327406,0.481145531,0.087999985,0.114256077,0.437132597,0.530528665,-0.417149216,0.976077855,0.435001612,0.517345846,0.086652286,0.126061201,0.429551423,0.530217588,-0.41491574,0.975778401,0.433182299,0.519081533,0.042867128,0.130832136,0.430007309,0.519957602,-0.368856847,0.961208105,0.434610277,0.508855879,0.066124149,0.12998125,0.474966526,0.491808087,-0.144877762,0.998565316,0.465281665,0.492283672,0.144794449,0.994395554,0.467775673,0.687446475,-0.085520789,0.869202197,0.469051689,0.683221519,0.202494338,0.264587492,0.487339973,0.885555923,0.023870038,0.903525054,0.489830911,0.869852781,0.318381876,0.389875561,0.503832161,0.917341411,0.027388096,0.855580688,0.505989313,0.900018096,0.324391276,0.524279475,0.41800338,0.924194574,-0.097423062,0.895972311,0.426798105,0.900855362,0.24561663,0.55588305
Rest,0.431577206,0.125672922,-0.254868031,0.999899447,0.440044641,0.107292421,-0.265537381,0.999890685,0.444815576,0.107040323,-0.265636683,0.999899268,0.449786991,0.106806315,-0.265732199,0.999920964,0.431726843,0.108044729,-0.229308397,0.999878645,0.429507554,0.108480319,-0.229238659,0.999821961,0.427038997,0.108902059,-0.229210287,0.999808609,0.467224061,0.116176009,-0.244522363,0.999942362,0.436794043,0.118092708,-0.087215342,0.99957031,0.441678464,0.145399064,-0.244284719,0.999896884,0.431726843,0.146148369,-0.19794175,0.999807239,0.484444082,0.216712385,-0.341886193,0.999987602,0.463506132,0.233033374,0.127825543,0.998950243,0.473063052,0.363136262,-0.383582413,0.997733116,0.460249573,0.370702147,0.192004919,0.062596597,0.440561682,0.49106738,-0.369952977,0.98998481,0.440469176,0.480796695,0.088218018,0.114668176,0.43685016,0.530364692,-0.413984776,0.976676583,0.434918106,0.516932249,0.086872131,0.126781523,0.429393679,0.530066073,-0.411569208,0.976383924,0.433159888,0.518882215,0.042638928,0.131576389,0.429950416,0.519882858,-0.365500957,0.962131858,0.434612513,0.508764982,0.066251032,0.130817324,0.474716246,0.491957724,-0.144454435,0.998570085,0.465842724,0.492406934,0.144378453,0.994438052,0.467433453,0.687269151,-0.08649464,0.869185209,0.469048172,0.683546424,0.196334511,0.261115432,0.487332642,0.885721505,0.021936851,0.902028203,0.489769846,0.871845424,0.307792932,0.384396762,0.503648162,0.91733104,0.025520489,0.85470289,0.505668283,0.901898444,0.313042641,0.520418227,0.417965025,0.924189448,-0.093929648,0.894509614,0.426314265,0.902292192,0.232382014,0.550416887
Rest,0.430877626,0.125407517,-0.242308855,0.999898255,0.439124495,0.107209481,-0.253540218,0.999889731,0.443610132,0.106984027,-0.25363782,0.999898732,0.448517978,0.106788211,-0.253731489,0.999920428,0.431081861,0.107873671,-0.216844842,0.99987644,0.428895712,0.108339645,-0.216773748,0.999819338,0.426569372,0.108809501,-0.216739416,0.999805808,0.466321945,0.116214857,-0.240814894,0.999942601,0.436357319,0.118054867,-0.078686811,0.999570191,0.440625429,0.145188794,-0.2336514,0.999897182,0.431259632,0.145848811,-0.186383426,0.999806702,0.484456241,0.216698587,-0.341004759,0.999988139,0.463442624,0.232880861,0.130165264,0.998958588,0.473085165,0.362861365,-0.385155499,0.997754216,0.460153431,0.37021178,0.192925841,0.062122356,0.440597445,0.490684241,-0.377092153,0.990249753,0.440578401,0.480893642,0.090259232,0.114791788,0.436886221,0.53013587,-0.422889948,0.977310717,0.434841335,0.517045498,0.089399904,0.127134338,0.429394007,0.529756129,-0.41840291,0.977001667,0.433196634,0.518940926,0.04462681,0.131910637,0.429949671,0.519581437,-0.37213847,0.962999046,0.434652507,0.508657157,0.068147279,0.131336004,0.474720001,0.491890788,-0.144452587,0.99857384,0.466091633,0.492327571,0.144377142,0.994415224,0.467509985,0.687290251,-0.095813081,0.870053351,0.469267279,0.683562577,0.190103397,0.257743239,0.487385809,0.886599123,0.000420543,0.90205723,0.489786327,0.872863829,0.291304827,0.378225476,0.503648996,0.917826772,0.002577979,0.853640556,0.505643785,0.90272975,0.295743287,0.514579415,0.417566448,0.924202383,-0.115208767,0.894037008,0.426310241,0.902329981,0.216351897,0.544770181
Rest,0.425163984,0.125459,-0.176100567,0.999882758,0.434133947,0.107278623,-0.200187609,0.999873638,0.437818229,0.107148699,-0.200257778,0.999886215,0.441713005,0.107077286,-0.200316474,0.99991107,0.427762687,0.10787563,-0.157912448,0.999853969,0.426585376,0.108336546,-0.157869816,0.999794722,0.425168574,0.108798407,-0.157881707,0.99978441,0.460047781,0.116612397,-0.237967774,0.999935985,0.436315686,0.11795105,-0.052606594,0.999539912,0.434650511,0.145414665,-0.185777366,0.999891162,0.427116007,0.145862684,-0.131312028,0.999792933,0.483571619,0.216709957,-0.342213869,0.999988735,0.463433832,0.232854381,0.129970729,0.99899298,0.473095477,0.362772942,-0.386625201,0.99774003,0.460610628,0.370133609,0.189126045,0.063402936,0.440631092,0.490661621,-0.368539393,0.990433335,0.440565497,0.480942428,0.091566995,0.116679415,0.436897337,0.530139506,-0.414879024,0.977740884,0.434790283,0.517159283,0.090249464,0.128573045,0.429404169,0.529744864,-0.408266127,0.97735846,0.433178902,0.518970668,0.045896683,0.133349091,0.429965168,0.519584,-0.36273554,0.963382244,0.434618562,0.508694708,0.069543496,0.132952362,0.474595696,0.491983205,-0.143687159,0.998558164,0.465951204,0.492326945,0.14359358,0.994409502,0.467521042,0.688081563,-0.076905981,0.871680319,0.469250739,0.683951259,0.199233651,0.256603599,0.487409741,0.886813283,0.026156699,0.903514624,0.489801705,0.872325838,0.311315477,0.375242919,0.503650665,0.918258071,0.028927768,0.854337454,0.505663931,0.90233624,0.318367183,0.510815561,0.417439938,0.924440205,-0.092353202,0.895355165,0.426359951,0.901429474,0.242079422,0.545788288
